Code Description
BAG Bags
BAK Back skins
BOT Bottles
BOX Boxes
BSK Belly skins
CAN Cans
CAS Cases
CCM Cubic centimetres
CRT Cartons
CTM Centimetres
CUF Cubic feet
CUM Cubic metres
FEE Feet
FLA Flasks
GRM Grams
HRN Hornback skins
INC Inches
ITE Items
KIL Kilograms
LTR Litres
MGM Milligrams
MLT Millilitres
MTR Metres
MYG Micrograms
OUN Ounces
PAI Pairs
PCS Pieces
PND Pounds
SET Sets
SHP Shipments
SID Sides
SKI Skins
SQC Square centimetres
SQD Square decimetres
SQF Square feet
SQM Square metres
TON Metric tons
